original_week_index,week_start,week_end,week_roles,assigned_representative_week_index,representative_start,representative_roles,assignment_distance_squared,representative_weight_weeks,weekly_peak_heat_mw,weekly_mean_wind_cf,weekly_positive_surplus_pressure_mwh,weekly_peak_surplus_pressure_mw
26,2024-06-24T00:00:00,2024-06-30T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,322.8173767871544,13,79.081018518519,0.2910238095238095,3107.759705982062,388.3856868959747
27,2024-07-01T00:00:00,2024-07-07T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,326.1108989902612,21,95.415277777778,0.43257142857142855,11992.72481272147,414.3230415350911
28,2024-07-08T00:00:00,2024-07-14T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,264.2968828885289,13,90.396759259259,0.1514464285714286,138.91273276405968,87.49068319101502
29,2024-07-15T00:00:00,2024-07-21T23:00:00,pam_medoid,29,2024-07-15T00:00:00,pam_medoid,0.0,13,85.347685185185,0.267375,615.5045978285041,161.22271261827234
30,2024-07-22T00:00:00,2024-07-28T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,448.95260317043596,21,76.702314814815,0.36244642857142856,13412.784434453815,467.0540422666925
31,2024-07-29T00:00:00,2024-08-04T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,355.2505412376865,13,77.030555555556,0.23195833333333335,1142.774833882921,195.846401271015
32,2024-08-05T00:00:00,2024-08-11T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,205.4090508699543,13,73.174074074074,0.3211607142857143,2113.390743873707,223.99068319101502
33,2024-08-12T00:00:00,2024-08-18T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,280.25527878896605,21,66.789351851852,0.25154166666666666,2250.497629118041,192.4906831910148
34,2024-08-19T00:00:00,2024-08-25T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,216.77409733668915,13,89.569907407407,0.23322619047619048,4730.420429678851,344.6727732721324
35,2024-08-26T00:00:00,2024-09-01T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,250.40889326770048,21,97.376851851852,0.15607142857142856,0.0,0.0
36,2024-09-02T00:00:00,2024-09-08T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,309.44964485806105,13,97.765277777778,0.4966488095238095,11123.618395384974,417.5084100567958
37,2024-09-09T00:00:00,2024-09-15T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,461.35944763838,13,105.458333333333,0.33583928571428573,7663.520459087921,495.794200091849
38,2024-09-16T00:00:00,2024-09-22T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,312.32652406368277,13,95.90787037037,0.23882738095238093,2440.5030024309776,229.79580348751244
39,2024-09-23T00:00:00,2024-09-29T23:00:00,pam_medoid,39,2024-09-23T00:00:00,pam_medoid,0.0,21,106.730092592593,0.33269642857142856,5950.609115260857,275.44068319101484
40,2024-09-30T00:00:00,2024-10-06T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,489.69246125892613,13,85.603703703704,0.4739940476190476,13046.309631041147,430.69250038973473
41,2024-10-07T00:00:00,2024-10-13T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,345.51120338944,13,77.511111111111,0.17395833333333335,1626.5243121696312,227.18600700935235
42,2024-10-14T00:00:00,2024-10-20T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,325.5678553629442,21,88.385648148148,0.21898214285714288,2215.5062027377617,323.49662154276496
43,2024-10-21T00:00:00,2024-10-27T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,463.6311422703197,21,102.581944444444,0.37904166666666667,8892.275930470667,498.7919221406162
44,2024-10-28T00:00:00,2024-11-03T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,523.0553684030543,21,92.978703703704,0.2970059523809524,7474.381115097622,447.669215539217
45,2024-11-04T00:00:00,2024-11-10T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,516.1501528470411,21,104.465740740741,0.34676190476190477,12317.633373821538,524.2509767275924
46,2024-11-11T00:00:00,2024-11-17T23:00:00,,5,2024-01-29T00:00:00,high_vre_low_absorption_extreme,833.0215595825892,3,401.060648148148,0.5387202380952381,30077.648712490107,610.8723006535529
47,2024-11-18T00:00:00,2024-11-24T23:00:00,,48,2024-11-25T00:00:00,pam_medoid,385.6279900748484,4,396.553240740741,0.3615595238095238,20908.539287125535,622.0664684678636
48,2024-11-25T00:00:00,2024-12-01T23:00:00,pam_medoid,48,2024-11-25T00:00:00,pam_medoid,0.0,4,394.829166666667,0.4506607142857143,22252.325238099747,656.593105779252
49,2024-12-02T00:00:00,2024-12-08T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,399.3372084838299,10,367.322222222222,0.41388690476190476,21620.43512291693,650.3475075000931
50,2024-12-09T00:00:00,2024-12-15T23:00:00,,48,2024-11-25T00:00:00,pam_medoid,463.29623540110657,4,405.698148148148,0.4664583333333333,30641.634483387188,619.6537164707581
51,2024-12-16T00:00:00,2024-12-22T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,385.9150654633346,10,414.985648148148,0.3471726190476191,13301.022640808374,544.1750238220734
52,2024-12-23T00:00:00,2024-12-29T23:00:00,,5,2024-01-29T00:00:00,high_vre_low_absorption_extreme,272.55318320746005,3,419.560648148148,0.48269047619047617,30609.454074519013,614.868635555335
