ele_load(kW),heat_load(kW),cool_load(kW),solarRadiation(W/m-2),windSpeed(m/s),temperature(C)
1759.5682000000002,615.3562999999999,233.5463,0.0,4.78,5.44
1786.0734999999997,622.608,237.0643,0.0,4.59,5.37
1843.3531,648.8226,244.667,0.0,4.83,5.42
1948.4407,677.0064,258.6152,0.0,5.16,5.54
2101.4161,725.4112,278.9196,0.0,5.35,5.65
2255.154,775.934,299.32509999999996,0.0,5.39,5.71
2399.9836999999998,828.477,318.54830000000004,0.0,5.52,5.7
2528.3899,867.0902000000001,335.5915,0.0,5.51,5.62
2612.5196,898.8931,346.75800000000004,0.0,5.26,5.4
2654.5071999999996,913.34,352.33099999999996,43.09,5.25,5.31
2676.6977,914.9270999999999,355.2763,76.39,5.2,5.45
2678.4952999999996,918.5675,355.51489999999995,101.14,5.02,5.65
2658.0252,926.5618999999999,352.7979,85.98,4.95,5.83
2621.7992,910.9719,347.9897,92.84,4.92,5.93
2568.8206,901.2702,340.95779999999996,39.98,5.25,5.94
2493.0095,871.8554999999999,330.8955,25.22,5.88,5.91
2403.9552,835.2797,319.0754,0.0,6.65,5.9
2318.2743,810.7470000000001,307.703,0.0,7.72,5.85
2224.0525,785.3335000000001,295.197,0.0,8.4,5.71
2125.8327,755.4545000000002,282.1604,0.0,8.38,5.55
2055.0504,732.6223999999999,272.7655,0.0,8.79,5.58
1996.6195,716.3032000000001,265.01,0.0,8.74,5.78
1925.7587000000003,690.8813,255.6047,0.0,9.44,6.33
1874.9598999999998,695.9572000000001,248.8622,0.0,9.71,6.86
1759.5682000000002,637.2226999999999,233.5463,0.0,9.16,6.55
1786.0734999999997,656.9105000000001,237.0643,0.0,9.17,5.8
1843.3531,680.0602,244.667,0.0,9.69,5.37
1948.4407,718.8298000000001,258.6152,0.0,10.55,5.33
2101.4161,768.1441,278.9196,0.0,11.13,5.49
2255.154,826.8887,299.32509999999996,0.0,11.74,5.69
2399.9836999999998,890.8382,318.54830000000004,0.0,12.66,5.9
2528.3899,961.3521000000001,335.5915,0.0,13.74,5.85
2612.5196,1008.0974000000001,346.75800000000004,0.0,13.41,6.44
2654.5071999999996,1009.3048,352.33099999999996,37.8,12.69,6.9
2676.6977,1005.6461999999999,355.2763,57.2,12.18,6.67
2678.4952999999996,997.2436,355.51489999999995,85.54,11.78,6.72
2658.0252,1013.6451999999999,352.7979,110.62,11.46,6.82
2621.7992,973.1728999999999,347.9897,94.68,10.81,6.56
2568.8206,930.2911,340.95779999999996,58.05,10.12,6.01
2493.0095,922.5515999999999,330.8955,26.41,9.66,5.12
2403.9552,905.8916,319.0754,0.0,9.79,4.24
2318.2743,868.3660000000001,307.703,0.0,10.07,3.45
2224.0525,838.0980999999999,295.197,0.0,10.63,2.82
2125.8327,798.6840000000001,282.1604,0.0,11.38,2.55
2055.0504,772.0908000000001,272.7655,0.0,11.64,2.63
1996.6195,754.6494,265.01,0.0,11.54,2.77
1925.7587000000003,727.8666000000001,255.6047,0.0,11.34,2.69
1874.9598999999998,708.6664999999999,248.8622,0.0,11.16,2.55
1759.5682000000002,667.0405000000001,233.5463,0.0,10.99,2.42
1786.0734999999997,677.0885000000001,237.0643,0.0,10.79,2.32
1843.3531,717.5454,244.667,0.0,10.62,2.23
1948.4407,765.0556000000001,258.6152,0.0,10.51,2.16
2101.4161,822.7473,278.9196,0.0,10.32,2.17
2255.154,880.3911,299.32509999999996,0.0,9.96,2.13
2399.9836999999998,934.2199,318.54830000000004,0.0,9.68,2.01
2528.3899,981.347,335.5915,0.0,9.48,1.93
2612.5196,1005.1459,346.75800000000004,0.0,9.35,1.86
2654.5071999999996,1015.3026,352.33099999999996,51.49,9.39,2.14
2676.6977,1011.6941,355.2763,51.83,9.6,2.62
2678.4952999999996,994.2176000000001,355.51489999999995,102.67,9.89,2.97
2658.0252,968.6021,352.7979,56.95,9.96,3.17
2621.7992,946.5153,347.9897,68.01,9.63,3.14
2568.8206,927.3889999999999,340.95779999999996,46.01,9.06,2.87
2493.0095,897.2036,330.8955,27.52,8.25,2.28
2403.9552,862.4381,319.0754,0.0,7.76,1.71
2318.2743,823.8423000000001,307.703,0.0,7.46,1.17
2224.0525,785.3335000000001,295.197,0.0,7.02,0.62
2125.8327,750.6512000000001,282.1604,0.0,6.41,0.12
2055.0504,727.9789999999999,272.7655,0.0,5.23,-0.56
1996.6195,705.0249,265.01,0.0,4.58,-1.32
1925.7587000000003,682.1789,255.6047,0.0,4.35,-1.85
1874.9598999999998,664.184,248.8622,0.0,4.21,-2.21
1759.5682000000002,623.3078,233.5463,0.0,4.06,-2.34
1786.0734999999997,622.608,237.0643,0.0,3.78,-2.24
1843.3531,648.8226,244.667,0.0,3.43,-2.35
1948.4407,685.8113000000001,258.6152,0.0,3.22,-2.22
2101.4161,737.2814,278.9196,0.0,3.03,-1.76
2255.154,791.2203999999999,299.32509999999996,0.0,2.76,-1.77
